,vari,deli,field,beta0,beta1,R2
0,a,1401,settle,55.91448141055844,0.9875496363619956,0.9740641579948472
1,a,1401,volume,9072.908630053058,0.7420442236074145,0.5504189595833175
2,a,1401,oi,10.111022408792905,0.998103845395433,0.9901614106616404
3,a,1403,settle,57.21531691056953,0.9877359448152421,0.9641570476861528
4,a,1403,volume,3.633257925070068,0.37690504183580936,0.1420574105612531
5,a,1403,oi,1.9168430125091942,0.8858256259327577,0.7846870395591616
6,a,1405,settle,46.25678867270625,0.9899925726384118,0.9817409229878857
7,a,1405,volume,5649.7581394333265,0.675540107298408,0.4563503491174149
8,a,1405,oi,196.97797341917482,0.9962709634958609,0.9925383292881905
9,a,1407,settle,105.74099069992698,0.9767966778420137,0.9628763226206851
10,a,1407,volume,4.34630162818358,0.22558389407739995,0.050888093267123735
11,a,1407,oi,0.4488383392355545,0.9861464844140928,0.9724848887222746
12,a,1409,settle,89.822216157073,0.9797439999991849,0.9737571945730098
13,a,1409,volume,5672.380388034941,0.7531825243244172,0.5672782121933053
14,a,1409,oi,167.5394853486871,0.9974957114855758,0.9949935761301006
15,a,1411,settle,178.6467183341872,0.9597026033324338,0.9257090992106567
16,a,1411,volume,6.626212729432103,0.1845692359262585,0.03406580285040306
17,a,1411,oi,0.5131063617865724,0.9945145620627938,0.9890592141549512
18,a,1501,settle,73.15729131601336,0.9834699639349849,0.9630760284673396
19,a,1501,volume,17712.431830973117,0.8014151992678151,0.6422664254938177
20,a,1501,oi,595.4560490082297,0.9961715163944709,0.9923576900756602
21,a,1503,settle,93.4066742770712,0.978544779798693,0.9435307349430411
22,a,1503,volume,19.13272689250207,0.01820340846080036,0.0003313640795910011
23,a,1503,oi,9.298784360980328,0.8879250793798448,0.788410946591704
24,a,1505,settle,66.67074117561378,0.9846012024851402,0.9654276669771135
25,a,1505,volume,11741.50505780781,0.7490681923782057,0.5611025008753849
26,a,1505,oi,299.8277247307293,0.9973774007910772,0.9947611925123769
27,a,1507,settle,76.76420052779646,0.9823930960986781,0.9610631469644985
28,a,1507,volume,5.257126989297413,0.20236941543307055,0.04096328518347936
29,a,1507,oi,0.963783722511903,0.9111596009975061,0.8302118184899347
30,a,1509,settle,37.42753041714411,0.9912829604812118,0.9761692806954501
31,a,1509,volume,5778.256856967604,0.8097220060673886,0.6556483981667547
32,a,1509,oi,244.3567233263576,0.9955659088058677,0.9911505143823431
33,a,1511,settle,19.098228418539293,0.995130672749217,0.9818209926964485
34,a,1511,volume,8.711151848541455,0.31148323414516454,0.09702180515353143
35,a,1511,oi,1.3366747950811593,0.9848209103290202,0.9698722254212803
36,a,1601,settle,7.19914826756775,0.9978662725135135,0.9861759168818354
37,a,1601,volume,4865.48754001864,0.8749951329377272,0.7656166942522777
38,a,1601,oi,183.0533523687834,0.996553782656535,0.9931194417270485
39,a,1603,settle,8.172307565638079,0.9971271560110175,0.9891423390196463
40,a,1603,volume,67.54868007783993,0.028792675318614815,0.0008290181520032025
41,a,1603,oi,3.061640321658617,0.9876901504007445,0.9755318331986441
42,a,1605,settle,5.908961105747284,0.99800891831251,0.9944787864748418
43,a,1605,volume,3573.256466089317,0.8918673970506195,0.7954452729450041
44,a,1605,oi,187.32685582871457,0.9965018238089459,0.9930158848545557
45,a,1607,settle,18.590228709903215,0.9950269015406666,0.99257977637999
46,a,1607,volume,2.1306781514499074,0.4545584139800306,0.2066233517200411
47,a,1607,oi,0.6030096510085545,0.9618121941179159,0.92508269675392
48,a,1609,settle,12.698614921549193,0.9962089691142351,0.9926762762707395
49,a,1609,volume,9269.359387777684,0.8842997001138073,0.781987054701478
50,a,1609,oi,201.39622000246862,0.9968576378539712,0.9937251501477998
51,a,1611,settle,36.55943942897595,0.9899950487772219,0.9878722724948846
52,a,1611,volume,9.46259510003871,0.11672282202811476,0.013624452337413162
53,a,1611,oi,2.868921348728011,0.9286094701195986,0.8623155479958023
54,a,1701,settle,34.573243911461475,0.9908840068187891,0.9851949346221707
55,a,1701,volume,3717.5486430065134,0.9333898520174859,0.8712182568032878
56,a,1701,oi,261.0984804399609,0.9961217205786721,0.9922584822086146
57,a,1703,settle,77.4486828299327,0.9792943378201066,0.9690648634811505
58,a,1703,volume,16.41097575671634,0.3766394693781233,0.1418314428443489
59,a,1703,oi,1.8324579993848626,0.993820764649721,0.9876554251111164
60,a,1705,settle,40.556049661018974,0.9892826421572186,0.9786262049116534
61,a,1705,volume,6103.4752643377215,0.9048047652307514,0.8186733669463463
62,a,1705,oi,412.13760652433837,0.9929788324271449,0.9860040427424822
63,a,1707,settle,78.45958150752251,0.9798737000991691,0.9658203639177301
64,a,1707,volume,4.140877328780924,0.13683741742569636,0.01872833593599943
65,a,1707,oi,1.0128175169382034,0.9583174237003608,0.9183722845676957
66,a,1709,settle,95.1683182651683,0.9755830600519195,0.9615580271927956
67,a,1709,volume,5697.03333523627,0.898634532580011,0.8075428698479472
68,a,1709,oi,147.98112999152656,0.9976460807234703,0.9952968324676801
69,a,1711,settle,68.06650652104923,0.9823458011264625,0.9532027391238131
70,a,1711,volume,3.738481660513586,0.06793319256321104,0.004614918651830724
71,a,1711,oi,1.2553172144827407,0.9331693723328177,0.8708050774600256
72,ag,1401,settle,50.08970526477577,0.9872650102311085,0.9909374219134898
73,ag,1401,volume,3035.0296704583984,0.9245750604384301,0.8548839919785696
74,ag,1401,oi,171.93669675864214,0.9948846413515775,0.9906948454802561
75,ag,1402,settle,76.98257220696101,0.9814150179945502,0.9874665555599944
76,ag,1402,volume,128.8061321809683,0.7056774558400767,0.4984144055896308
